mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
281.6152557531993,2.425873443262158,21.927348693211872,0.998921775300066,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9316319029887763,0.9288525804099981,0.9353004180724989,0.9319283004904243,0.002640649066641046,3
212.86717549959818,3.004441412860935,14.351670662562052,1.131443035920988,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.9214069923508238,0.9198351321978405,0.9246623361506509,0.9219681535664384,0.0020102488955250396,8
659.8498442967733,2.929116165853027,63.18398189544678,2.5797612197615996,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.4255539366564837,0.4255539366564837,0.24856180177580406,0.36655655836292383,0.08343489252720844,12
204.79344328244528,5.703897618705958,12.285121122996012,0.35107416926697227,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.9214069923508238,0.9198351321978405,0.9246623361506509,0.9219681535664384,0.0020102488955250396,8
176.34554767608643,5.526838246046453,17.120598475138348,1.2146227312664681,1.0,scale,rbf,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.9445822871611473,0.9420051213284427,0.949239103479588,0.945275503989726,0.0029936640447608075,2
147.6915123462677,1.7393829166905934,8.592018842697144,0.26464641751011597,1.0,scale,linear,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'linear'}",0.927123606912022,0.9253536213949409,0.9319165682802046,0.9281312655290558,0.0027724357366835503,6
515.4549605051676,5.621835865482549,46.10387786229452,2.2760413335068175,1.0,auto,rbf,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.8865004806820574,0.873991176529753,0.8846608534190763,0.8817175035436288,0.00551471691390032,11
141.67376716931662,6.391545473813902,8.824529886245728,1.0193334389849444,1.0,auto,linear,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'linear'}",0.927123606912022,0.9253536213949409,0.9319165682802046,0.9281312655290558,0.0027724357366835503,6
203.36058537165323,9.005267039745,17.484047810236614,0.9269013813694714,10.0,scale,rbf,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.9492458345092047,0.9421374374979609,0.9501470820300986,0.9471767846790881,0.0035823015676545414,1
119.65648221969604,4.408131538173485,6.262959082921346,0.4240022270817611,10.0,scale,linear,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'linear'}",0.9277108754561533,0.9267224819716264,0.9315576399468044,0.9286636657915279,0.0020857524986791468,4
224.8778157234192,3.0390896098964446,9.677140394846598,0.19573551480633114,10.0,auto,rbf,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.9186928029289348,0.9146915647714227,0.9219035686138367,0.9184293121047314,0.0029501774428643338,10
120.64703893661499,0.910960348704391,5.209619124730428,0.9485922294137387,10.0,auto,linear,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'linear'}",0.9277108754561533,0.9267224819716264,0.9315576399468044,0.9286636657915279,0.0020857524986791468,4
